Back to front page,A2. Population of England and Great Britain 1086-1870,
,,
,"For a summary overview of the methodology and construction of this database, see:",
," Broadberry, Stephen, Bruce M.S. Campbell, Alexander Klein, Mark Overton and Bas van Leeuwen (2015), British Economic Growth, 1270-1870, Cambridge: Cambridge University Press",
,http://www.cambridge.org/gb/academic/subjects/history/economic-history/british-economic-growth-12701870?format=PB,
,"When using this data, please cite this source. ",
,,
Year,"Population of England, millions","Population of Great Britain, millions"
1086,1.71,
1087,1.72,
1088,1.73,
1089,1.74,
1090,1.75,
1091,1.76,
1092,1.77,
1093,1.78,
1094,1.79,
1095,1.80,
1096,1.81,
1097,1.82,
1098,1.83,
1099,1.84,
1100,1.85,
1101,1.86,
1102,1.87,
1103,1.88,
1104,1.90,
1105,1.91,
1106,1.92,
1107,1.93,
1108,1.94,
1109,1.95,
1110,1.96,
1111,1.97,
1112,1.98,
1113,2.00,
1114,2.01,
1115,2.02,
1116,2.03,
1117,2.04,
1118,2.05,
1119,2.07,
1120,2.08,
1121,2.09,
1122,2.10,
1123,2.11,
1124,2.13,
1125,2.14,
1126,2.15,
1127,2.16,
1128,2.17,
1129,2.19,
1130,2.20,
1131,2.21,
1132,2.22,
1133,2.24,
1134,2.25,
1135,2.26,
1136,2.28,
1137,2.29,
1138,2.30,
1139,2.32,
1140,2.33,
1141,2.34,
1142,2.36,
1143,2.37,
1144,2.38,
1145,2.40,
1146,2.41,
1147,2.42,
1148,2.44,
1149,2.45,
1150,2.47,
1151,2.48,
1152,2.49,
1153,2.51,
1154,2.52,
1155,2.54,
1156,2.55,
1157,2.57,
1158,2.58,
1159,2.60,
1160,2.61,
1161,2.63,
1162,2.64,
1163,2.66,
1164,2.67,
1165,2.69,
1166,2.70,
1167,2.72,
1168,2.73,
1169,2.75,
1170,2.76,
1171,2.78,
1172,2.80,
1173,2.81,
1174,2.83,
1175,2.85,
1176,2.86,
1177,2.88,
1178,2.89,
1179,2.91,
1180,2.93,
1181,2.94,
1182,2.96,
1183,2.98,
1184,3.00,
1185,3.01,
1186,3.03,
1187,3.05,
1188,3.06,
1189,3.08,
1190,3.10,
1191,3.13,
1192,3.15,
1193,3.18,
1194,3.20,
1195,3.23,
1196,3.26,
1197,3.28,
1198,3.31,
1199,3.34,
1200,3.37,
1201,3.39,
1202,3.42,
1203,3.45,
1204,3.48,
1205,3.51,
1206,3.54,
1207,3.57,
1208,3.60,
1209,3.63,
1210,3.66,
1211,3.69,
1212,3.72,
1213,3.75,
1214,3.78,
1215,3.81,
1216,3.84,
1217,3.87,
1218,3.91,
1219,3.94,
1220,3.97,
1221,3.98,
1222,3.99,
1223,4.00,
1224,4.00,
1225,4.01,
1226,4.02,
1227,4.03,
1228,4.04,
1229,4.05,
1230,4.05,
1231,4.06,
1232,4.07,
1233,4.08,
1234,4.09,
1235,4.10,
1236,4.11,
1237,4.12,
1238,4.12,
